factor,update_method,algorithm,builds_saved
2,stagger,BATCHSTOP4,25.14124294
3,stagger,BATCHSTOP4,24.01129944
2,stagger,BATCHDIVIDE4,13.37099812
3,stagger,BATCHDIVIDE4,14.97175141
-1,random_linear,BATCHBISECT,0.847457627
-1,random_linear,BATCHSTOP4,23.54048964
-1,random_linear,BATCHDIVIDE4,13.46516008
-1,random_exponential,BATCHBISECT,-2.919020716
-1,random_exponential,BATCHSTOP4,22.88135593
-1,random_exponential,BATCHDIVIDE4,12.99435028
2,linear,BATCHBISECT,72.37076649
3,linear,BATCHBISECT,71.83600713
4,linear,BATCHBISECT,72.99465241
2,linear,BATCHSTOP4,75.6684492
3,linear,BATCHSTOP4,75.93582888
4,linear,BATCHSTOP4,76.29233512
2,linear,BATCHDIVIDE4,63.36898396
3,linear,BATCHDIVIDE4,63.7254902
4,linear,BATCHDIVIDE4,63.36898396
2,exponential,BATCHBISECT,72.81639929
3,exponential,BATCHBISECT,67.9144385
2,exponential,BATCHSTOP4,74.7771836
3,exponential,BATCHSTOP4,74.06417112
2,exponential,BATCHDIVIDE4,69.2513369
3,exponential,BATCHDIVIDE4,66.13190731
2,stagger,BATCHBISECT,68.8057041
3,stagger,BATCHBISECT,69.96434938
2,stagger,BATCHSTOP4,72.99465241
3,stagger,BATCHSTOP4,74.24242424
2,stagger,BATCHDIVIDE4,59.53654189
3,stagger,BATCHDIVIDE4,60.24955437
-1,random_linear,BATCHBISECT,70.1426025
-1,random_linear,BATCHSTOP4,73.08377897
-1,random_linear,BATCHDIVIDE4,60.24955437
-1,random_exponential,BATCHBISECT,67.64705882
-1,random_exponential,BATCHSTOP4,72.28163993
-1,random_exponential,BATCHDIVIDE4,70.40998217
2,linear,BATCHBISECT,47.04025257
3,linear,BATCHBISECT,46.40883978
4,linear,BATCHBISECT,45.382794
2,linear,BATCHSTOP4,54.85398579
3,linear,BATCHSTOP4,55.24861878
4,linear,BATCHSTOP4,55.24861878
2,linear,BATCHDIVIDE4,47.51381215
3,linear,BATCHDIVIDE4,46.72454617
4,linear,BATCHDIVIDE4,46.64561957
2,exponential,BATCHBISECT,44.11996843
3,exponential,BATCHBISECT,45.382794
2,exponential,BATCHSTOP4,56.74822415
3,exponential,BATCHSTOP4,55.09076559
2,exponential,BATCHDIVIDE4,50.82872928
3,exponential,BATCHDIVIDE4,51.77584846
2,stagger,BATCHBISECT,44.19889503
3,stagger,BATCHBISECT,47.98737174
2,stagger,BATCHSTOP4,55.01183899
3,stagger,BATCHSTOP4,56.74822415
2,stagger,BATCHDIVIDE4,43.88318863
3,stagger,BATCHDIVIDE4,44.98816101
-1,random_linear,BATCHBISECT,44.11996843
-1,random_linear,BATCHSTOP4,55.95895817
-1,random_linear,BATCHDIVIDE4,45.22494081
-1,random_exponential,BATCHBISECT,43.01499605
-1,random_exponential,BATCHSTOP4,53.27545383
-1,random_exponential,BATCHDIVIDE4,47.04025257
2,linear,BATCHBISECT,65.54455446
3,linear,BATCHBISECT,66.73267327
4,linear,BATCHBISECT,65.14851485
2,linear,BATCHSTOP4,72.02970297
3,linear,BATCHSTOP4,72.62376238
4,linear,BATCHSTOP4,71.43564356
2,linear,BATCHDIVIDE4,60.0990099
3,linear,BATCHDIVIDE4,60.69306931
4,linear,BATCHDIVIDE4,58.86138614
2,exponential,BATCHBISECT,65.54455446
3,exponential,BATCHBISECT,67.32673267
2,exponential,BATCHSTOP4,72.47524752
3,exponential,BATCHSTOP4,73.06930693
2,exponential,BATCHDIVIDE4,67.77227723
3,exponential,BATCHDIVIDE4,68.91089109
2,stagger,BATCHBISECT,67.77227723
3,stagger,BATCHBISECT,66.73267327
2,stagger,BATCHSTOP4,72.72277228
3,stagger,BATCHSTOP4,71.98019802
2,stagger,BATCHDIVIDE4,58.86138614
3,stagger,BATCHDIVIDE4,58.26732673
-1,random_linear,BATCHBISECT,66.38613861
-1,random_linear,BATCHSTOP4,72.12871287
-1,random_linear,BATCHDIVIDE4,58.96039604
-1,random_exponential,BATCHBISECT,68.51485149
-1,random_exponential,BATCHSTOP4,71.78217822
-1,random_exponential,BATCHDIVIDE4,69.30693069
2,linear,BATCHBISECT,-50.56179775
3,linear,BATCHBISECT,-20.2247191
4,linear,BATCHBISECT,-26.96629213
2,linear,BATCHSTOP4,7.865168539
3,linear,BATCHSTOP4,6.741573034
4,linear,BATCHSTOP4,2.247191011
2,linear,BATCHDIVIDE4,-2.247191011
3,linear,BATCHDIVIDE4,-1.123595506
4,linear,BATCHDIVIDE4,-8.988764045
2,exponential,BATCHBISECT,-17.97752809
3,exponential,BATCHBISECT,-20.2247191
2,exponential,BATCHSTOP4,6.741573034
3,exponential,BATCHSTOP4,4.494382022
2,exponential,BATCHDIVIDE4,-5.617977528
3,exponential,BATCHDIVIDE4,-2.247191011
2,stagger,BATCHBISECT,-17.97752809
3,stagger,BATCHBISECT,-15.73033708
