factor,update_method,algorithm,builds_saved
-1,random_linear,BATCHBISECT,5.562972853
-1,random_linear,BATCHSTOP4,22.12950601
-1,random_linear,BATCHDIVIDE4,11.48197597
-1,random_exponential,BATCHBISECT,1.902536716
-1,random_exponential,BATCHSTOP4,20.26034713
-1,random_exponential,BATCHDIVIDE4,12.6835781
2,linear,BATCHBISECT,-0.321768327
3,linear,BATCHBISECT,0.370733072
4,linear,BATCHBISECT,0.363738109
2,linear,BATCHSTOP4,0.811415781
3,linear,BATCHSTOP4,0.909345271
4,linear,BATCHSTOP4,0.909345271
2,linear,BATCHDIVIDE4,0.412702854
3,linear,BATCHDIVIDE4,0.552602126
4,linear,BATCHDIVIDE4,0.552602126
2,exponential,BATCHBISECT,0.258813654
3,exponential,BATCHBISECT,0.181869054
2,exponential,BATCHSTOP4,0.902350308
3,exponential,BATCHSTOP4,0.832400672
2,exponential,BATCHDIVIDE4,0.531617236
3,exponential,BATCHDIVIDE4,0.650531617
2,stagger,BATCHBISECT,0.531617236
3,stagger,BATCHBISECT,0.286793509
2,stagger,BATCHSTOP4,0.96530498
3,stagger,BATCHSTOP4,0.846390599
2,stagger,BATCHDIVIDE4,0.587576945
3,stagger,BATCHDIVIDE4,0.55959709
-1,random_linear,BATCHBISECT,0.356743145
-1,random_linear,BATCHSTOP4,0.839395635
-1,random_linear,BATCHDIVIDE4,0.552602126
-1,random_exponential,BATCHBISECT,0.188864018
-1,random_exponential,BATCHSTOP4,0.769445999
-1,random_exponential,BATCHDIVIDE4,0.601566872
2,linear,BATCHBISECT,42.97851483
3,linear,BATCHBISECT,43.46867086
4,linear,BATCHBISECT,44.26925905
2,linear,BATCHSTOP4,57.9364431
3,linear,BATCHSTOP4,58.03447431
4,linear,BATCHSTOP4,57.66685728
2,linear,BATCHDIVIDE4,43.89347276
3,linear,BATCHDIVIDE4,44.48982926
4,linear,BATCHDIVIDE4,43.28894698
2,exponential,BATCHBISECT,43.69741034
3,exponential,BATCHBISECT,44.44898293
2,exponential,BATCHSTOP4,58.4592762
3,exponential,BATCHSTOP4,58.12433625
2,exponential,BATCHDIVIDE4,43.46050159
3,exponential,BATCHDIVIDE4,51.99738583
2,stagger,BATCHBISECT,48.05979904
3,stagger,BATCHBISECT,48.92574136
2,stagger,BATCHSTOP4,58.23053672
3,stagger,BATCHSTOP4,58.59815375
2,stagger,BATCHDIVIDE4,40.77281268
3,stagger,BATCHDIVIDE4,44.33461319
-1,random_linear,BATCHBISECT,45.6008496
-1,random_linear,BATCHSTOP4,58.67984642
-1,random_linear,BATCHDIVIDE4,42.72526754
-1,random_exponential,BATCHBISECT,45.06167797
-1,random_exponential,BATCHSTOP4,57.81390409
-1,random_exponential,BATCHDIVIDE4,46.01748223
2,linear,BATCHBISECT,24.2694171
3,linear,BATCHBISECT,25.55086732
4,linear,BATCHBISECT,27.08235662
2,linear,BATCHSTOP4,36.56821378
3,linear,BATCHSTOP4,37.49023285
4,linear,BATCHSTOP4,37.7715268
2,linear,BATCHDIVIDE4,26.83231755
3,linear,BATCHDIVIDE4,28.31692452
4,linear,BATCHDIVIDE4,28.66072824
2,exponential,BATCHBISECT,28.11376778
3,exponential,BATCHBISECT,26.34786685
2,exponential,BATCHSTOP4,38.67791842
3,exponential,BATCHSTOP4,37.44335052
2,exponential,BATCHDIVIDE4,28.87951242
3,exponential,BATCHDIVIDE4,33.61462729
2,stagger,BATCHBISECT,32.42694171
3,stagger,BATCHBISECT,32.75511799
2,stagger,BATCHSTOP4,38.67791842
3,stagger,BATCHSTOP4,39.11548679
2,stagger,BATCHDIVIDE4,28.31692452
3,stagger,BATCHDIVIDE4,29.83278637
-1,random_linear,BATCHBISECT,30.05157056
-1,random_linear,BATCHSTOP4,38.47476168
-1,random_linear,BATCHDIVIDE4,28.5357087
-1,random_exponential,BATCHBISECT,28.95764963
-1,random_exponential,BATCHSTOP4,37.80278168
-1,random_exponential,BATCHDIVIDE4,31.39553055
2,linear,BATCHBISECT,74.88180048
3,linear,BATCHBISECT,75.94720065
4,linear,BATCHBISECT,76.4563678
2,linear,BATCHSTOP4,80.46766361
3,linear,BATCHSTOP4,80.70513232
4,linear,BATCHSTOP4,80.86986287
2,linear,BATCHDIVIDE4,64.30909441
3,linear,BATCHDIVIDE4,63.894059
4,linear,BATCHDIVIDE4,64.78831055
2,exponential,BATCHBISECT,77.61162099
3,exponential,BATCHBISECT,78.93802281
2,exponential,BATCHSTOP4,81.5672935
3,exponential,BATCHSTOP4,82.89155595
2,exponential,BATCHDIVIDE4,65.5456432
3,exponential,BATCHDIVIDE4,78.87384207
2,stagger,BATCHBISECT,79.84724986
3,stagger,BATCHBISECT,80.03979205
2,stagger,BATCHSTOP4,81.60580194
3,stagger,BATCHSTOP4,81.69351561
2,stagger,BATCHDIVIDE4,64.60646514
3,stagger,BATCHDIVIDE4,65.06642706
-1,random_linear,BATCHBISECT,78.34114199
-1,random_linear,BATCHSTOP4,81.40684167
-1,random_linear,BATCHDIVIDE4,65.43867531
-1,random_exponential,BATCHBISECT,79.72744582
-1,random_exponential,BATCHSTOP4,82.60702137
-1,random_exponential,BATCHDIVIDE4,74.58656911
