,Unnamed: 0,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size,fr_bracket,size_bracket
101,101,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,4,1124,12.732919254658384,1288,med,lt 5k
102,102,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,2,931,27.717391304347828,1288,med,lt 5k
103,103,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,3,927,28.027950310559007,1288,med,lt 5k
104,104,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,4,984,23.602484472049696,1288,med,lt 5k
105,105,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,2,977,24.14596273291926,1288,med,lt 5k
106,106,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,3,965,25.077639751552795,1288,med,lt 5k
107,107,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,4,1055,18.090062111801245,1288,med,lt 5k
108,108,p6spy-p6spy.csv,BATCHBISECT,-1,random_linear,-1,1150,10.714285714285708,1288,med,lt 5k
109,109,p6spy-p6spy.csv,BATCHSTOP4,-1,random_linear,-1,963,25.232919254658384,1288,med,lt 5k
110,110,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_linear,-1,1032,19.875776397515523,1288,med,lt 5k
111,111,p6spy-p6spy.csv,BATCHBISECT,-1,random_exponential,-1,1108,13.9751552795031,1288,med,lt 5k
112,112,p6spy-p6spy.csv,BATCHSTOP4,-1,random_exponential,-1,938,27.173913043478265,1288,med,lt 5k
113,113,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_exponential,-1,965,25.077639751552795,1288,med,lt 5k
114,114,p6spy-p6spy.csv,BATCHBISECT,-1,random_random,-1,1166,9.472049689440992,1288,med,lt 5k
115,115,p6spy-p6spy.csv,BATCHSTOP4,-1,random_random,-1,949,26.31987577639751,1288,med,lt 5k
116,116,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_random,-1,1050,18.47826086956522,1288,med,lt 5k
117,117,apache-tajo.csv,BATCHBISECT,-1,linear,1,928,27.8943278943279,1287,low,lt 5k
118,118,apache-tajo.csv,BATCHBISECT,-1,linear,2,958,25.563325563325563,1287,low,lt 5k
119,119,apache-tajo.csv,BATCHBISECT,-1,linear,3,963,25.174825174825173,1287,low,lt 5k
120,120,apache-tajo.csv,BATCHBISECT,-1,linear,4,1003,22.06682206682207,1287,low,lt 5k
121,121,apache-tajo.csv,BATCHSTOP4,-1,linear,1,779,39.47163947163947,1287,low,lt 5k
122,122,apache-tajo.csv,BATCHSTOP4,-1,linear,2,787,38.85003885003885,1287,low,lt 5k
123,123,apache-tajo.csv,BATCHSTOP4,-1,linear,3,819,36.36363636363637,1287,low,lt 5k
124,124,apache-tajo.csv,BATCHSTOP4,-1,linear,4,816,36.5967365967366,1287,low,lt 5k
125,125,apache-tajo.csv,BATCHDIVIDE4,-1,linear,1,814,36.75213675213675,1287,low,lt 5k
126,126,apache-tajo.csv,BATCHDIVIDE4,-1,linear,2,832,35.35353535353535,1287,low,lt 5k
127,127,apache-tajo.csv,BATCHDIVIDE4,-1,linear,3,870,32.400932400932405,1287,low,lt 5k
128,128,apache-tajo.csv,BATCHDIVIDE4,-1,linear,4,874,32.09013209013209,1287,low,lt 5k
129,129,apache-tajo.csv,BATCHBISECT,-1,exponential,2,950,26.184926184926184,1287,low,lt 5k
130,130,apache-tajo.csv,BATCHBISECT,-1,exponential,3,922,28.360528360528363,1287,low,lt 5k
131,131,apache-tajo.csv,BATCHBISECT,-1,exponential,4,969,24.70862470862471,1287,low,lt 5k
132,132,apache-tajo.csv,BATCHSTOP4,-1,exponential,2,845,34.34343434343434,1287,low,lt 5k
133,133,apache-tajo.csv,BATCHSTOP4,-1,exponential,3,776,39.7047397047397,1287,low,lt 5k
134,134,apache-tajo.csv,BATCHSTOP4,-1,exponential,4,871,32.32323232323232,1287,low,lt 5k
135,135,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,2,901,29.992229992229998,1287,low,lt 5k
136,136,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,3,777,39.62703962703963,1287,low,lt 5k
137,137,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,4,950,26.184926184926184,1287,low,lt 5k
138,138,apache-tajo.csv,BATCHBISECT,-1,stagger,2,911,29.21522921522921,1287,low,lt 5k
139,139,apache-tajo.csv,BATCHBISECT,-1,stagger,3,931,27.661227661227656,1287,low,lt 5k
140,140,apache-tajo.csv,BATCHBISECT,-1,stagger,4,975,24.24242424242425,1287,low,lt 5k
141,141,apache-tajo.csv,BATCHSTOP4,-1,stagger,2,801,37.76223776223776,1287,low,lt 5k
