,project,algorithm,batch_size,update_method,factor,total_duration,testall_duration,time_saved,builds_made,builds_saved,testall_size
63,ratpack-ratpack.csv,BATCHDIVIDE4,-1,random_random,-1,1670405.0,2004584.0,16.67074066240177,1596,3.6231884057970944,1656
64,ratpack-ratpack.csv,BATCHBISECT,-1,random_random,-1,1829578.0,2004584.0,8.73029017491909,1732,-4.589371980676333,1656
65,ratpack-ratpack.csv,BATCHSTOP4,-1,random_random,-1,1659016.0,2004584.0,17.238888467632194,1655,0.06038647342995773,1656
66,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,1,1042145.0,2320366.0,55.087042302809124,758,17.248908296943227,916
67,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,2,1078726.0,2320366.0,53.510523770818914,731,20.196506550218345,916
68,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,3,1168717.0,2320366.0,49.63221319395302,788,13.973799126637559,916
69,p6spy-p6spy.csv,BATCHDIVIDE4,-1,linear,4,1168557.0,2320366.0,49.63910865785829,765,16.48471615720524,916
70,p6spy-p6spy.csv,BATCHBISECT,-1,linear,1,1155216.0,2320366.0,50.214061057609015,750,18.122270742358083,916
71,p6spy-p6spy.csv,BATCHBISECT,-1,linear,2,1207168.0,2320366.0,47.975103927570046,776,15.28384279475982,916
72,p6spy-p6spy.csv,BATCHBISECT,-1,linear,3,1277065.0,2320366.0,44.9627774239064,802,12.445414847161572,916
73,p6spy-p6spy.csv,BATCHBISECT,-1,linear,4,1190440.0,2320366.0,48.696024678865314,779,14.956331877729255,916
74,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,1,981005.0,2320366.0,57.721971447607835,754,17.685589519650648,916
75,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,2,954171.0,2320366.0,58.87842693781929,720,21.39737991266375,916
76,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,3,1038823.0,2320366.0,55.230209372142156,778,15.06550218340611,916
77,p6spy-p6spy.csv,BATCHSTOP4,-1,linear,4,1013836.0,2320366.0,56.307065350897226,754,17.685589519650648,916
78,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,2,1151561.0,2320366.0,50.37157931119487,761,16.921397379912662,916
79,p6spy-p6spy.csv,BATCHDIVIDE4,-1,exponential,3,1234928.0,2320366.0,46.77874094000688,759,17.139737991266372,916
80,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,2,1212362.0,2320366.0,47.75125993054544,782,14.62882096069869,916
81,p6spy-p6spy.csv,BATCHBISECT,-1,exponential,3,1323873.0,2320366.0,42.94550945842165,795,13.209606986899558,916
82,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,2,998269.0,2320366.0,56.977950892229934,742,18.995633187772924,916
83,p6spy-p6spy.csv,BATCHSTOP4,-1,exponential,3,1077130.0,2320366.0,53.579306023273915,780,14.8471615720524,916
84,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,2,1148124.0,2320366.0,50.519702495209806,770,15.938864628820966,916
85,p6spy-p6spy.csv,BATCHDIVIDE4,-1,stagger,3,1245148.0,2320366.0,46.33829318305819,764,16.593886462882097,916
86,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,2,1202987.0,2320366.0,48.15529101874446,779,14.956331877729255,916
87,p6spy-p6spy.csv,BATCHBISECT,-1,stagger,3,1272585.0,2320366.0,45.15585041325377,791,13.646288209606993,916
88,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,2,986056.0,2320366.0,57.50429027144855,746,18.558951965065503,916
89,p6spy-p6spy.csv,BATCHSTOP4,-1,stagger,3,1050930.0,2320366.0,54.70843823776077,773,15.611353711790386,916
90,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_linear,-1,1265860.0,2320366.0,45.44567538052186,789,13.864628820960704,916
91,p6spy-p6spy.csv,BATCHBISECT,-1,random_linear,-1,1355148.0,2320366.0,41.59766174818972,870,5.021834061135365,916
92,p6spy-p6spy.csv,BATCHSTOP4,-1,random_linear,-1,1109396.0,2320366.0,52.18874953347877,801,12.554585152838428,916
93,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_exponential,-1,1170929.0,2320366.0,49.53688340546276,777,15.174672489082965,916
94,p6spy-p6spy.csv,BATCHBISECT,-1,random_exponential,-1,1331427.0,2320366.0,42.6199573687944,801,12.554585152838428,916
95,p6spy-p6spy.csv,BATCHSTOP4,-1,random_exponential,-1,1051479.0,2320366.0,54.684778177235835,765,16.48471615720524,916
96,p6spy-p6spy.csv,BATCHDIVIDE4,-1,random_random,-1,1258981.0,2320366.0,45.74213723179878,782,14.62882096069869,916
97,p6spy-p6spy.csv,BATCHBISECT,-1,random_random,-1,1424987.0,2320366.0,38.58783485019174,871,4.91266375545851,916
98,p6spy-p6spy.csv,BATCHSTOP4,-1,random_random,-1,1056780.0,2320366.0,54.45632283872458,780,14.8471615720524,916
99,apache-tajo.csv,BATCHDIVIDE4,-1,linear,1,,,,891,30.661478599221795,1285
100,apache-tajo.csv,BATCHDIVIDE4,-1,linear,2,,,,896,30.272373540856037,1285
101,apache-tajo.csv,BATCHDIVIDE4,-1,linear,3,,,,883,31.284046692607006,1285
102,apache-tajo.csv,BATCHDIVIDE4,-1,linear,4,,,,900,29.961089494163417,1285
103,apache-tajo.csv,BATCHBISECT,-1,linear,1,,,,923,28.171206225680933,1285
104,apache-tajo.csv,BATCHBISECT,-1,linear,2,1871232.0,,,950,26.070038910505843,1285
105,apache-tajo.csv,BATCHBISECT,-1,linear,3,,,,969,24.59143968871595,1285
106,apache-tajo.csv,BATCHBISECT,-1,linear,4,,,,986,23.268482490272376,1285
107,apache-tajo.csv,BATCHSTOP4,-1,linear,1,,,,887,30.9727626459144,1285
108,apache-tajo.csv,BATCHSTOP4,-1,linear,2,,,,878,31.673151750972764,1285
109,apache-tajo.csv,BATCHSTOP4,-1,linear,3,,,,883,31.284046692607006,1285
110,apache-tajo.csv,BATCHSTOP4,-1,linear,4,,,,880,31.51750972762646,1285
111,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,2,,,,871,32.217898832684824,1285
112,apache-tajo.csv,BATCHDIVIDE4,-1,exponential,3,,,,924,28.09338521400778,1285
113,apache-tajo.csv,BATCHBISECT,-1,exponential,2,,,,935,27.237354085603116,1285
114,apache-tajo.csv,BATCHBISECT,-1,exponential,3,1797959.0,,,914,28.871595330739297,1285
115,apache-tajo.csv,BATCHSTOP4,-1,exponential,2,,,,854,33.5408560311284,1285
116,apache-tajo.csv,BATCHSTOP4,-1,exponential,3,,,,881,31.43968871595331,1285
117,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,2,,,,896,30.272373540856037,1285
118,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,3,,,,907,29.416342412451357,1285
119,apache-tajo.csv,BATCHBISECT,-1,stagger,2,,,,907,29.416342412451357,1285
120,apache-tajo.csv,BATCHBISECT,-1,stagger,3,1841445.0,,,924,28.09338521400778,1285
121,apache-tajo.csv,BATCHSTOP4,-1,stagger,2,,,,863,32.840466926070036,1285
122,apache-tajo.csv,BATCHSTOP4,-1,stagger,3,,,,895,30.35019455252919,1285
123,apache-tajo.csv,BATCHDIVIDE4,-1,random_linear,-1,,,,884,31.206225680933855,1285
124,apache-tajo.csv,BATCHBISECT,-1,random_linear,-1,,,,1026,20.155642023346303,1285
125,apache-tajo.csv,BATCHSTOP4,-1,random_linear,-1,,,,923,28.171206225680933,1285
126,apache-tajo.csv,BATCHDIVIDE4,-1,random_exponential,-1,,,,870,32.295719844357976,1285
127,apache-tajo.csv,BATCHBISECT,-1,random_exponential,-1,,,,980,23.735408560311285,1285
128,apache-tajo.csv,BATCHSTOP4,-1,random_exponential,-1,,,,908,29.338521400778205,1285
129,apache-tajo.csv,BATCHDIVIDE4,-1,random_random,-1,,,,888,30.89494163424125,1285
130,apache-tajo.csv,BATCHBISECT,-1,random_random,-1,1877051.0,,,978,23.891050583657588,1285
131,apache-tajo.csv,BATCHSTOP4,-1,random_random,-1,,,,871,32.217898832684824,1285
132,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,1,8265333.0,11350519.0,27.181012603917054,874,8.09674027339642,951
133,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,2,8508272.0,11350519.0,25.040678756627784,887,6.72975814931651,951
134,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,3,8726912.0,11350519.0,23.11442322593355,881,7.360672975814936,951
135,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,4,9023184.0,11350519.0,20.50421659132944,880,7.465825446898009,951
136,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,1,8961092.0,11350519.0,21.051257656147712,814,14.405888538380651,951
137,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,2,9322973.0,11350519.0,17.863024589448287,838,11.882229232386962,951
138,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,3,9318695.0,11350519.0,17.900714495962703,836,12.092534174553109,951
139,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,4,9276306.0,11350519.0,18.274168784704912,840,11.671924290220815,951
140,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,1,8221939.0,11350519.0,27.563321113334112,877,7.781282860147215,951
141,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,2,8383342.0,11350519.0,26.1413332729543,891,6.3091482649842305,951
142,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,3,8452014.0,11350519.0,25.536321290682835,883,7.150368033648789,951
143,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,4,8503941.0,11350519.0,25.078835602142945,886,6.834910620399583,951
144,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,2,8882111.0,11350519.0,21.74709367915247,886,6.834910620399583,951
145,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,3,9592693.0,11350519.0,15.48674558405655,883,7.150368033648789,951
146,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,2,9609593.0,11350519.0,15.33785371400198,863,9.253417455310199,951
147,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,3,8991967.0,11350519.0,20.779243662778768,814,14.405888538380651,951
148,osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,2,8479796.0,11350519.0,25.29155715258483,892,6.203995793901157,951
149,osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,3,8559236.0,11350519.0,24.591677261630068,883,7.150368033648789,951
150,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,2,8768452.0,11350519.0,22.74844877137336,878,7.6761303890641415,951
151,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,3,9208159.0,11350519.0,18.87455542781788,872,8.307045215562567,951
152,osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,2,9273654.0,11350519.0,18.297533355082706,834,12.302839116719241,951
153,osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,3,9132081.0,11350519.0,19.5448155278186,821,13.669821240799152,951
154,osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,2,8457576.0,11350519.0,25.48731912611221,888,6.624605678233436,951
155,osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,3,8538597.0,11350519.0,24.77351035666298,886,6.834910620399583,951
156,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_linear,-1,9561733.0,11350519.0,15.759508441860675,893,6.098843322818084,951
157,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_linear,-1,9829970.0,11350519.0,13.396294918320478,876,7.886435331230288,951
158,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_linear,-1,9271349.0,11350519.0,18.317840796530973,916,3.680336487907468,951
159,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_exponential,-1,9543613.0,11350519.0,15.919148719102623,891,6.3091482649842305,951
160,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_exponential,-1,9692818.0,11350519.0,14.604627330256875,865,9.043112513144052,951
161,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_exponential,-1,8931388.0,11350519.0,21.312954940650727,904,4.942166140904305,951
162,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_random,-1,9402169.0,11350519.0,17.165294379930998,878,7.6761303890641415,951
163,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_random,-1,9496526.0,11350519.0,16.33399318568604,858,9.779179810725552,951
