,project,BATCHSTOP4 MFU 2,BATCHBISECT linear 3,BATCHDIVIDE4 MFU 3,BATCHDIVIDE4 mixed 3,Baseline Dynamic BATCHDIVIDE4,BATCHDIVIDE4 16,BATCHSTOP4 16,BATCHDIVIDE4 exponential 2,BATCHSTOP4 linear 4,BATCHBISECT mixed 3,BATCHDIVIDE4 random_linear -1,BATCHDIVIDE4 random_exponential -1,BATCHDIVIDE4 4,BATCHSTOP4 mixed 2,BATCHSTOP4 random_linear -1,BATCHBISECT MFU 2,BATCHBISECT 8,BATCHBISECT mixed 2,Baseline Dynamic BATCHBISECT,BATCHSTOP4 random -1,BATCHBISECT random_exponential -1,BATCHSTOP4 8,BATCHBISECT 2,BATCHDIVIDE4 linear 4,BATCHDIVIDE4 exponential 3,BATCHBISECT 16,BATCHSTOP4 linear 2,BATCHBISECT random -1,BATCHBISECT 4,BATCHBISECT linear 1,BATCHSTOP4 4,BATCHSTOP4 MFU 3,BATCHBISECT linear 2,BATCHSTOP4 exponential 3,BATCHDIVIDE4 linear 3,BATCHDIVIDE4 8,BATCHDIVIDE4 MFU 2,BATCHSTOP4 random_exponential -1,BATCHDIVIDE4 mixed 2,Baseline Dynamic BATCHSTOP4,BATCHBISECT exponential 2,BATCHDIVIDE4 linear 1,BATCHSTOP4 mixed 3,BATCHSTOP4 exponential 2,BATCHBISECT exponential 3,BATCHBISECT linear 4,BATCHSTOP4 linear 3,BATCHBISECT random_linear -1,BATCHDIVIDE4 linear 2,BATCHSTOP4 linear 1,BATCHBISECT MFU 3,BATCHDIVIDE4 random -1
224,apache-zeppelin.csv,16.743625974526400,10.973776930789800,23.99869398558250,23.660727880631000,30.539065215311400,13.996029334080000,-6.213802730618330,20.126927124685000,20.699444154262900,9.179902169992180,25.42598192241270,23.606226388202900,6.170025419134020,18.042868172952400,18.748168599039000,7.63138019429924,-29.96517657576420,11.398426386860600,19.761148334627600,18.44840907466830,6.881093072477880,-1.1194850980849200,-13.19985927615750,23.743684274041400,21.09675205900600,-35.05949420829760,21.921265123164000,7.5046030954542000,-22.67566605854530,13.041593611320700,6.170025419134020,18.49197973703630,12.768667656047600,21.080291329125000,23.326017599610300,-1.1194850980849200,20.804791246281800,18.240096879844200,21.298086736255000,20.216516239441800,9.105686755784650,20.88152025131700,18.941583491156600,17.075498924749000,11.67224986514120,9.1634414401112,20.79497902994080,4.410296457639870,24.19817308007390,20.47198392459960,7.1373056227710800,28.384457270337700
44,caelum-vraptor4.csv,46.01628786885820,49.94800814393440,62.00706040667240,60.47745126309630,74.57510857122880,65.03659459350870,47.68345844019310,55.901731022972500,48.0361059410526,22.82835696996710,62.59469945211940,60.56832778462260,46.94888810022830,47.26584003984590,47.36501778208860,45.41641544551340,46.32748310889990,40.602581242736400,59.39130206831470,42.4008877937103,44.2083693781075,49.122466334982800,33.2029811368765,63.71798568694790,55.154184252147400,44.88847521411020,46.81320505762800,48.29125925149200,44.1539048741454,30.315184243409300,46.94888810022830,47.26016025725050,23.31594446046440,49.7985861710401,62.86427067222410,49.122466334982800,62.50513364965350,50.547443660925700,63.24437919976230,56.83583680673890,39.25341442315250,64.10639543520240,47.69968804886360,43.73083073374050,42.69579958231750,31.435849040116700,47.12777763214230,46.20983738345520,64.68573325993310,45.63749006038050,40.51388925297750,63.94867224159170
260,cloudfoundry-uaa.csv,70.40154605745440,68.083451205953,82.20139965366060,81.75112711616350,81.2714799044358,91.89586858822370,80.76918447765790,80.46709384295350,71.85420978734930,66.96919624525920,83.2137041464205,83.59453140611820,68.91252855495670,70.40154605745440,71.42517258273300,65.64274448155270,74.79141943109140,65.64274448155270,76.66090825657920,69.78817364136910,64.45288756178200,77.83515515361300,43.91252855495670,83.97499343896040,76.12266822218520,77.72544875513630,76.31916027041400,68.37177172069330,65.86879283243510,63.49082784927820,68.91252855495670,69.76834704064510,70.07065052642230,68.75181635141500,84.95301878257370,77.83515515361300,80.46709384295350,69.77820816574200,80.46709384295350,76.99983877843100,65.64274448155270,79.16166871106750,70.27476016335030,70.40154605745440,66.4233907974311,66.54036774170320,72.13757365190860,67.96344809630720,87.07754340068990,69.3137961314128,66.04616363102280,82.98689826918990
188,dreamhead-moco.csv,28.316622052499800,26.896299458333100,34.024246723579600,34.02403995895530,37.50394497504630,21.23436520682140,5.039072474533780,32.82899682127590,29.818710657156200,27.68610272931180,34.097328619851800,34.66675839497270,11.889976638817500,28.990975476023900,29.179356845478600,26.678181576557700,-21.36239799266880,28.013881049063600,30.707140653891200,29.649182462074200,27.36080558505080,7.765809949289140,-10.593504873771500,34.18806069631930,29.407812958465300,-24.146915880750300,29.738091250491800,27.32059926403070,-17.238231303140400,27.34024190333230,11.889976638817500,28.996482933741900,26.91197597620630,29.367963776341600,33.69616765528350,7.765809949289140,33.047885371196100,29.07719632432650,33.66022820423610,31.11380907617750,27.313174534342600,33.684118916726300,29.5751043362489,28.577070291889600,26.534724520912300,27.49706347241640,29.273265578445600,28.072696186264100,34.56995495726650,29.63645703929220,26.56246857412670,34.3560475551117
68,dropwizard-dropwizard.csv,71.33387870889080,68.18754905528720,82.06170623749970,81.72343860325800,79.97657788242910,79.94608886323130,67.16935686093270,82.14680452433610,72.68344992550340,66.4853241096433,82.82753897724460,82.02292858379650,59.202639555628,71.00149511702250,72.35127370076720,67.41889093836740,62.417071806794200,67.29574078279020,75.87413022448530,71.02210222577510,66.78268857707780,65.61169356329110,38.8164173425059,84.97327037667200,71.73829645827310,63.97473510443590,70.42675118950970,66.07797729952010,56.09895993573420,66.70399275044510,59.202639555628,71.23610510610460,65.77900573681170,71.17576127066280,82.50697531190610,65.61169356329110,82.85294145092710,73.20173815130130,81.83927906742850,74.65680739637090,68.27682060565720,81.92165566065610,71.01958789929840,71.44593472290050,66.45274154901170,66.93528486541360,72.02052312506420,64.08248338730060,83.52921751049540,71.0902482495622,66.96198338367170,83.0276741806147
74,essentials-Essentials.csv,-1.2289033389347600,-20.279096953313400,4.028640315627950,4.028640315627950,21.443705706144500,-7.921491590846440,-28.032809484422400,3.1869657339080800,-0.38430627602835400,-22.621465624315000,-10.655366406078800,2.1377949879447600,-12.47415219189410,-1.2289033389347600,-8.612552056696120,-24.494776064879100,-51.8420871243452,-24.494776064879100,3.8313728355373700,-10.012420545042700,-32.29049462994080,-24.715674110835400,-21.233112765370800,4.031562796814500,4.028640315627950,-56.34477529638820,2.6375392708409600,-51.948564331117100,-39.60056520540390,-18.180755461386700,-12.47415219189410,-0.3872287572148850,-20.93811646087530,-0.3872287572148850,-2.647767954993800,-24.715674110835400,3.1869657339080800,-10.252064002338000,3.1869657339080800,2.9984656973770900,-24.494776064879100,10.973916855410200,-0.3872287572148850,-1.2289033389347600,-22.621465624315000,-27.7650325126032,-7.063637027836630,-39.69167823482140,7.053408343683790,6.5580477825674000,-22.621465624315000,-4.92291955870536
170,floragunncom-search-guard.csv,67.79332793827190,65.25513537261590,79.65417719448560,77.94963573825650,78.27151360002440,88.93845350658390,76.74306923207860,76.7334265899186,70.73060606953920,64.13716896210370,80.56194541732010,78.13883692998810,66.1794596506777,67.74777739000110,71.8124078171968,62.99595180200440,69.96250400588070,63.13151936278680,71.72113554949270,70.76615261430670,63.76885616772490,74.3732900714069,41.1775625036255,81.38279672758780,68.33685343659390,72.3322831665524,69.23813617426750,65.13406030360060,61.768673585151500,63.45990172873370,66.1794596506777,69.19886190195890,64.15207036275930,68.24615173943180,81.46872465121500,74.3732900714069,77.4633479748074,70.89708904418970,77.29506770294960,72.16135925118320,62.977113464608900,77.41079842788800,67.93991702002420,67.6096802998158,62.91805941351050,64.63600927747700,70.44664262028820,64.64917994748850,82.067215111751,68.72203609999820,65.04238863651710,79.93668568885460
50,grails-grails-core.csv,22.560991316854300,4.822848801640040,33.041837950391200,33.15748800566710,62.3812104884672,29.19311533787410,7.0748099369753800,27.458972404984500,26.61309019094330,6.480159709774730,33.84999302343050,34.05016690100780,18.188734703106000,24.054889501872900,18.916055769622900,10.594189054299200,2.3346239719639400,12.371443291223500,35.25480578303940,19.48555850121820,-4.190342281230880,12.012717971907400,12.10406127236240,30.408290311155,27.671918771265100,-2.6032840629680900,27.692794813725600,1.2848694308192800,8.510640703162540,14.439888804216000,18.188734703106000,25.240154987173900,6.949629168500240,27.14443645418540,26.467548218828200,12.012717971907400,28.068348914338500,18.81543217164510,30.35279975099010,31.090706136161200,7.459670061930480,29.732582726014000,26.65816956283740,20.543313763161600,9.004067876654250,5.681879165816970,21.458639676287200,-0.7317884704139600,30.687997080574000,28.861155534566200,4.924760381672020,32.553048760853900
158,jOOQ-jOOQ.csv,59.666108488142200,52.406120215936500,71.71451888839850,71.63165053591180,71.67275826839720,72.36374509394990,57.56905943133620,70.5467932946034,63.58822142559200,53.97851516452160,73.31619705112470,71.09688729831520,53.00149349120560,61.611423113427100,62.45374473307180,51.06308223360070,51.84166667312750,53.55645965699220,63.09592005755080,61.521372998265000,50.5270132209722,57.44720770898860,33.459707654071400,73.53542217036740,62.459137100333100,51.96351839547510,62.058651061849,53.454947738772500,47.39595245534450,53.43154051227490,53.00149349120560,61.04391877595680,52.504754592882300,62.31233413332210,70.66825455358820,57.44720770898860,69.66244506374720,61.33904811418280,71.14868304124680,63.60173861527390,53.22759779710920,66.14367152503640,61.62443250170780,61.14886439889010,53.07610371239100,53.48771301966520,61.83546025547250,49.761442155979700,72.09466868981190,61.59222338425450,52.93154958015710,73.5055827927868
2,junit-team-junit5.csv,74.47773833872950,72.94053264116280,86.54088973270110,86.91173907859380,83.66581368259820,85.11642342717280,72.11551348339180,86.35928667296470,74.37440191753260,71.9508876843164,86.21956849400920,82.77033327524480,63.16103183392470,73.21354868888090,75.1096802991253,72.56387444319100,69.50665528649120,71.56108313690240,80.47644816210980,73.43703662939830,70.40237001164830,70.31361318219330,43.31402935803110,87.08141870511520,79.97291240556790,71.30855558768970,74.79111062194460,71.42503370662850,62.35407393822260,72.72224209461090,63.16103183392470,74.37562483375980,72.7363056312235,72.80692904334320,87.6424315243345,70.31361318219330,86.63933448898920,75.97153051023120,84.5157404604891,78.2369828210843,72.16398083690270,86.98113957448630,74.51870603234000,74.16772907513900,70.56471214080660,71.88943614390060,74.72904762341520,71.30121343862640,87.34893162981100,74.49241333345560,71.32597749222680,86.8771916951759
122,keycloak-keycloak.csv,48.26926602982360,42.05339729366150,62.262566668850000,61.48539961221610,77.86658803793190,60.61374804561820,42.6330166901177,58.82442885548970,50.04180802569510,41.67569020482980,62.967136504025400,59.85025344404150,43.51168531729660,48.23699816403950,47.01793878656610,43.1517752912268,41.62879736727660,43.93792389909730,62.09531265984700,47.46171504254300,39.52679930592330,44.37761961654540,31.389187135488600,64.36284765996640,50.24952282770780,39.8815637661577,49.14665405452420,40.82167611956680,40.76286306802790,41.54804264615780,43.51168531729660,48.10803623201580,41.91766633887660,49.442256621320100,59.90298172166700,44.37761961654540,62.66717459894640,47.59205706658590,61.57022050584540,58.63191697191160,42.81803399100930,62.08120505253880,48.26297894395800,46.108983895202400,41.8338093190385,40.09568199875880,47.067600193037600,40.058682388908600,65.89420214580210,48.36821643698360,43.854110691704300,61.92915396197040
146,linkedin-gobblin.csv,17.506428443730100,9.651308916352160,23.92936612069760,23.36556992337040,33.73880516788690,16.310598894348600,-3.047866619334360,21.047234420128600,21.19371907964800,8.571185117982790,26.66081606294740,25.5118328206877,8.084666136201800,18.55720632996810,17.18667200720040,8.575686231987420,-26.476282296278200,10.742605273498400,20.83581717978100,19.219216328183700,9.381132292807520,1.5959312730034000,-11.540641401215900,24.67283530406970,19.926913055789400,-31.120080188616000,22.377689405061700,10.36777986056340,-19.987547433079800,13.931260304320900,8.084666136201800,18.710176647190300,11.50821689762110,19.79228498925770,23.201427047371400,1.5959312730034000,21.918922016130900,19.112963014101300,22.20989834660490,21.39745149120730,9.219776222852600,22.497336277889500,18.432399643525300,17.53993767519400,10.29940177408070,9.385498288943320,20.594496666093300,5.1727004817712000,24.84676578069040,21.86897907387340,7.902630347996920,26.934725317617800
80,mybatis-mybatis-3.csv,76.16873087599070,68.90812427515940,84.30900583527770,84.8551473023664,81.76170301998630,87.98925978831750,76.3305240667297,84.77207018493400,75.73708897908770,68.55308262277440,85.35309698732430,82.75933383117610,65.42962325464170,74.80345736758720,77.06026281354720,68.727669617919,72.08908684212340,69.29824364520970,77.64462424357660,75.88583261002910,66.55403748057340,73.67668887068400,43.66311408961060,86.25569091079900,75.06904122080720,74.7429220381691,74.72323392188440,66.34270545394380,63.84202122608110,67.52582492756000,65.42962325464170,73.84427096542920,67.44733292313140,74.66327475183480,84.94947878808090,73.67668887068400,86.34457156287260,76.67755016450300,84.51389305272010,76.89965560350510,69.1029755459571,83.70399536486760,75.40102905326390,75.00969126157620,67.81048669852310,68.6923674541625,75.78723664858380,69.67627499006830,85.51447372682150,73.53334900180810,67.51598136327910,85.25119846196710
86,naver-pinpoint.csv,64.66265051748350,61.552943769853000,73.63368797712060,73.06830422682510,76.1865977842186,75.13551777220300,61.52192480803560,70.85040816182680,66.48696310811760,60.04070404150380,74.50608221678110,72.97839904699230,55.47288337594500,64.27688488484380,64.2832929518312,60.846582545835300,56.82703672279070,60.1158706672656,68.51364245421280,65.07725245156620,60.42954554629730,60.416306074827400,36.578389074650100,76.43689688074520,64.28130645106510,57.93265545599890,66.70304312693160,59.32716578246020,51.87513643617750,61.51327783520120,55.47288337594500,64.36191993376620,62.79880015353730,63.87573989143450,73.77671603227870,60.416306074827400,74.28353005030970,64.61170638493390,73.96959884859850,67.61555186593300,58.54640690071920,72.19437205108770,64.2445882272275,62.506720460253,60.12349626698060,60.57571355427920,65.92837190882860,57.6132641860185,74.31396836849970,65.77143834830790,59.680058031454600,77.39701755746270
242,ngageoint-geowave.csv,67.92142248902520,60.92060007836420,77.41323803681780,76.56012325729730,76.94731553470570,81.64662048561180,69.58735332384420,75.28297991716070,69.76327600861420,59.95178496962360,80.20816298175920,77.38877628875330,60.29244931282180,67.73746542047540,70.51839816680550,59.75219048754840,66.34868817849760,60.12675239495860,70.97902291945750,69.43274131179910,59.2408002278111,66.93121866880630,42.01453486094070,78.4112498064019,68.47576151704560,68.80804292684680,69.92823438723520,62.14927648919010,59.7099188225131,60.650501446155700,60.29244931282180,68.57678086150620,60.94355436874420,68.40692226143060,77.74864933956230,66.93121866880630,76.18669489509100,70.35461662851780,75.53528818714040,70.67424882458640,59.72520187830020,76.11334507418520,68.63731532413390,67.49216702552430,58.71582316930970,60.68233910988760,69.32809304831760,58.24971961483870,78.91445335077730,68.54165670386700,59.47091384013430,80.07394808087450
194,nutzam-nutz.csv,26.393460561294600,21.153833335740300,34.59094903290380,33.9549573468982,47.50260784363830,39.20893480164740,20.045782464785200,31.510444149931800,30.95410417377180,18.286260691048000,36.48201060023170,35.53435521552070,26.409224135962400,26.584258067096300,28.05881451149730,17.672375964957700,1.626548892129780,19.220335292595100,31.45162186211700,28.676670714054800,16.261751959909700,23.68045222064700,3.667164320042760,36.64017534485190,30.15361559884870,-2.00812086373206,31.124183347793600,19.036147656717800,4.355320807445150,23.286405108374100,26.409224135962400,27.454011413412400,20.52867294919070,30.10554129280170,35.04766882663140,23.68045222064700,31.999352343837700,27.39341168158420,32.09608417974850,32.704719891487000,18.61630982626600,32.87890940478950,27.764925252924700,26.30700457358560,19.82213895390750,21.55720203650650,30.038526098988100,16.407030235433600,35.29926047220020,31.702047060052100,17.353047038944900,38.70087172519830
110,open-keychain-open-keychain.csv,37.13937836584960,26.491275259968100,51.36107661403400,50.292589264764000,71.14039706294750,48.01751391285030,27.890814932466800,47.58274052411390,40.5348445914624,29.577698545781300,51.42889437026780,48.12928868616690,33.64064834338950,38.31560151774420,34.83328850303030,28.41878752153290,23.025196788101700,29.987180441015700,49.297642689131400,33.1100879627775,24.544877040971100,31.39131546037920,21.207778416749600,49.08660642237010,44.9032237757035,19.478599008680900,40.30778387597080,23.28381015606670,25.651218762646300,29.62691649545310,33.64064834338950,38.8296715560312,30.143848042441900,42.00465853616660,47.55541311601130,31.39131546037920,47.02131251681140,38.14992016390720,47.62609238094690,46.95778702363030,28.84071697962030,47.92182930528290,39.14486673953980,37.08458047420920,30.211808874110800,27.043975665730000,38.30601546359300,22.885917371074700,49.55718152838900,42.53346534426810,29.40014193083160,52.94663858572790
140,orbeon-orbeon-forms.csv,20.89020934976890,9.912282795712740,28.428306747632600,29.20404487037060,41.49267982761380,17.41521387440620,-2.1559737520850600,26.291510509722000,23.48753468199070,12.425361418018300,29.174407950186500,28.046515642013900,8.992738004674240,21.119886299993900,18.47735272892870,12.12620113075680,-21.829959395170200,12.140964503636700,27.229902807795200,19.172222824101000,7.223292342326640,2.2851094094992800,-7.104936354568840,30.126351702470300,25.182458028134900,-26.267561811271700,24.48505392119960,7.949672322899200,-15.120203677755700,14.2038337027237,8.992738004674240,21.438474010771400,11.03330756475960,24.920977394044300,26.762542899166500,2.2851094094992800,27.513822299670800,21.474170524301700,26.962068781893200,26.903859960961500,12.294106953658800,24.572679313466400,22.59365285140590,20.583704100875700,12.955116775708700,8.866286809734280,20.464385199167800,5.155722367795280,30.766061135788100,23.487093984292800,11.129636736560100,30.65030454047170
