,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size,time_saved,total_duration,testall_duration
134,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,632,68.7128712871287,2020,68.9381662317141,1198332.0,3857892.0
135,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,647,67.97029702970298,2020,68.2537250913193,1224737.0,3857892.0
136,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,812,59.801980198019805,2020,39.859021455240324,2320174.0,3857892.0
137,dropwizard-dropwizard.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,833,58.76237623762376,2020,38.22579792280344,2383182.0,3857892.0
138,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,617,68.48825331971399,1958,66.2521656904859,1301955.0,3857892.0
139,dropwizard-dropwizard.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,612,68.74361593462717,1958,66.9932180579446,1273366.0,3857892.0
140,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,619,68.38610827374872,1958,65.17748552836628,1343415.0,3857892.0
141,dropwizard-dropwizard.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,607,68.99897854954034,1958,65.9853619541449,1312248.0,3857892.0
142,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,797,59.29519918283963,1958,37.74587261644442,2401697.0,3857892.0
143,dropwizard-dropwizard.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,788,59.75485188968335,1958,38.99422275169963,2353537.0,3857892.0
144,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,97,-8.98876404494382,89,-16.343976035654265,79620.0,68435.0
145,essentials-Essentials.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,102,-14.606741573033702,89,-14.546650105939946,78390.0,68435.0
146,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,102,-14.606741573033702,89,6.172280265945787,64211.0,68435.0
147,essentials-Essentials.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,107,-20.224719101123597,89,-1.9113026959888941,69743.0,68435.0
148,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,102,-14.606741573033702,89,6.172280265945787,64211.0,68435.0
149,essentials-Essentials.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,101,-13.483146067415731,89,2.2225469423540574,66914.0,68435.0
150,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,82,-12.328767123287676,73,6.013005041280053,64320.0,68435.0
151,essentials-Essentials.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,84,-15.06849315068493,73,2.5980857748228203,66657.0,68435.0
152,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,86,-17.808219178082197,73,18.636662526484983,55681.0,68435.0
153,essentials-Essentials.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,87,-19.178082191780817,73,14.267553152626576,58671.0,68435.0
154,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,86,-17.808219178082197,73,18.636662526484983,55681.0,68435.0
155,essentials-Essentials.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,81,-10.958904109589042,73,18.233360122744216,55957.0,68435.0
