project,algorithm,batch_size,update_method,factor,"num_of_builds, builds_saved",testall_size
grails-grails-core.csv,BATCHBISECT,-1,linear,4,2072,3.8515081206496546,2155
grails-grails-core.csv,BATCHSTOP4,-1,linear,2,1589,26.264501160092806,2155
grails-grails-core.csv,BATCHSTOP4,-1,linear,3,1597,25.893271461716935,2155
grails-grails-core.csv,BATCHSTOP4,-1,linear,4,1642,23.805104408352662,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,2,1810,16.009280742459396,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,3,1800,16.473317865429237,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,linear,4,1821,15.498839907192576,2155
grails-grails-core.csv,BATCHBISECT,-1,exponential,2,1994,7.4709976798143884,2155
grails-grails-core.csv,BATCHBISECT,-1,exponential,3,2100,2.552204176334101,2155
grails-grails-core.csv,BATCHSTOP4,-1,exponential,2,1568,27.238979118329468,2155
grails-grails-core.csv,BATCHSTOP4,-1,exponential,3,1640,23.897911832946633,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,exponential,2,1777,17.540603248259856,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,exponential,3,1795,16.705336426914158,2155
grails-grails-core.csv,BATCHBISECT,-1,stagger,2,1969,8.631090487238978,2155
grails-grails-core.csv,BATCHBISECT,-1,stagger,3,2008,6.821345707656619,2155
grails-grails-core.csv,BATCHSTOP4,-1,stagger,2,1586,26.403712296983755,2155
grails-grails-core.csv,BATCHSTOP4,-1,stagger,3,1606,25.475638051044086,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger,2,1834,14.895591647331784,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,stagger,3,1784,17.21577726218098,2155
grails-grails-core.csv,BATCHBISECT,-1,random_linear,-1,2040,5.336426914153137,2155
grails-grails-core.csv,BATCHSTOP4,-1,random_linear,-1,1581,26.635730858468676,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,random_linear,-1,1807,16.148491879350345,2155
grails-grails-core.csv,BATCHBISECT,-1,random_exponential,-1,2047,5.011600928074245,2155
grails-grails-core.csv,BATCHSTOP4,-1,random_exponential,-1,1642,23.805104408352662,2155
grails-grails-core.csv,BATCHDIVIDE4,-1,random_exponential,-1,1771,17.81902552204177,2155
square-wire.csv,BATCHBISECT,-1,linear,2,595,73.1981981981982,2220
square-wire.csv,BATCHBISECT,-1,linear,3,608,72.61261261261261,2220
square-wire.csv,BATCHBISECT,-1,linear,4,574,74.14414414414415,2220
square-wire.csv,BATCHSTOP4,-1,linear,2,497,77.61261261261261,2220
square-wire.csv,BATCHSTOP4,-1,linear,3,506,77.2072072072072,2220
square-wire.csv,BATCHSTOP4,-1,linear,4,480,78.37837837837839,2220
square-wire.csv,BATCHDIVIDE4,-1,linear,2,816,63.24324324324324,2220
square-wire.csv,BATCHDIVIDE4,-1,linear,3,815,63.288288288288285,2220
square-wire.csv,BATCHDIVIDE4,-1,linear,4,809,63.55855855855856,2220
square-wire.csv,BATCHBISECT,-1,exponential,2,572,74.23423423423424,2220
square-wire.csv,BATCHBISECT,-1,exponential,3,635,71.3963963963964,2220
square-wire.csv,BATCHSTOP4,-1,exponential,2,540,75.67567567567568,2220
square-wire.csv,BATCHSTOP4,-1,exponential,3,520,76.57657657657657,2220
square-wire.csv,BATCHDIVIDE4,-1,exponential,2,692,68.82882882882883,2220
square-wire.csv,BATCHDIVIDE4,-1,exponential,3,590,73.42342342342343,2220
square-wire.csv,BATCHBISECT,-1,stagger,2,641,71.12612612612612,2220
square-wire.csv,BATCHBISECT,-1,stagger,3,643,71.03603603603604,2220
square-wire.csv,BATCHSTOP4,-1,stagger,2,507,77.16216216216216,2220
square-wire.csv,BATCHSTOP4,-1,stagger,3,531,76.08108108108108,2220
square-wire.csv,BATCHDIVIDE4,-1,stagger,2,851,61.666666666666664,2220
square-wire.csv,BATCHDIVIDE4,-1,stagger,3,881,60.31531531531532,2220
square-wire.csv,BATCHBISECT,-1,random_linear,-1,639,71.21621621621622,2220
square-wire.csv,BATCHSTOP4,-1,random_linear,-1,525,76.35135135135135,2220
square-wire.csv,BATCHDIVIDE4,-1,random_linear,-1,879,60.4054054054054,2220
square-wire.csv,BATCHBISECT,-1,random_exponential,-1,632,71.53153153153153,2220
square-wire.csv,BATCHSTOP4,-1,random_exponential,-1,532,76.03603603603604,2220
square-wire.csv,BATCHDIVIDE4,-1,random_exponential,-1,618,72.16216216216216,2220
puniverse-quasar.csv,BATCHBISECT,-1,linear,2,1537,25.89199614271938,2074
puniverse-quasar.csv,BATCHBISECT,-1,linear,3,1499,27.724204435872707,2074
puniverse-quasar.csv,BATCHBISECT,-1,linear,4,1535,25.98842815814851,2074
puniverse-quasar.csv,BATCHSTOP4,-1,linear,2,1174,43.39440694310511,2074
puniverse-quasar.csv,BATCHSTOP4,-1,linear,3,1163,43.92478302796528,2074
puniverse-quasar.csv,BATCHSTOP4,-1,linear,4,1211,41.61041465766635,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,2,1438,30.66538090646094,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,3,1388,33.076181292189005,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,linear,4,1439,30.61716489874638,2074
puniverse-quasar.csv,BATCHBISECT,-1,exponential,2,1430,31.05110896817743,2074
puniverse-quasar.csv,BATCHBISECT,-1,exponential,3,1547,25.40983606557377,2074
puniverse-quasar.csv,BATCHSTOP4,-1,exponential,2,1116,46.19093539054966,2074
puniverse-quasar.csv,BATCHSTOP4,-1,exponential,3,1201,42.092574734811954,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,exponential,2,1357,34.5708775313404,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,exponential,3,1328,35.96914175506268,2074
puniverse-quasar.csv,BATCHBISECT,-1,stagger,2,1494,27.96528447444551,2074
puniverse-quasar.csv,BATCHBISECT,-1,stagger,3,1474,28.92960462873674,2074
puniverse-quasar.csv,BATCHSTOP4,-1,stagger,2,1194,42.43008678881389,2074
puniverse-quasar.csv,BATCHSTOP4,-1,stagger,3,1172,43.49083895853423,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger,2,1466,29.315332690453232,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,stagger,3,1418,31.62970106075217,2074
puniverse-quasar.csv,BATCHBISECT,-1,random_linear,-1,1473,28.9778206364513,2074
puniverse-quasar.csv,BATCHSTOP4,-1,random_linear,-1,1173,43.442622950819676,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,random_linear,-1,1413,31.870781099324972,2074
puniverse-quasar.csv,BATCHBISECT,-1,random_exponential,-1,1579,23.866923818707818,2074
puniverse-quasar.csv,BATCHSTOP4,-1,random_exponential,-1,1197,42.2854387656702,2074
puniverse-quasar.csv,BATCHDIVIDE4,-1,random_exponential,-1,1346,35.10125361620058,2074
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,2,814,63.628239499553175,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,3,775,65.37086684539767,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,linear,4,827,63.047363717605,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,2,662,70.42001787310099,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,3,635,71.62645218945487,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,linear,4,674,69.88382484361037,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,linear,2,946,57.73011617515639,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,linear,3,909,59.38337801608579,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,linear,4,951,57.506702412868634,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,exponential,2,731,67.33690795352993,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,exponential,3,773,65.46023235031278,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,exponential,2,633,71.71581769436997,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,exponential,3,635,71.62645218945487,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,exponential,2,787,64.83467381590705,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,exponential,3,722,67.7390527256479,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,stagger,2,760,66.04110813226094,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,stagger,3,749,66.532618409294,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,stagger,2,647,71.09025915996426,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,stagger,3,629,71.89454870420018,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,stagger,2,957,57.238605898123325,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,stagger,3,935,58.221626452189454,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,random_linear,-1,798,64.343163538874,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,random_linear,-1,655,70.73279714030384,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,random_linear,-1,901,59.7408400357462,2238
dropwizard-dropwizard.csv,BATCHBISECT,-1,random_exponential,-1,766,65.77301161751564,2238
dropwizard-dropwizard.csv,BATCHSTOP4,-1,random_exponential,-1,638,71.49240393208221,2238
dropwizard-dropwizard.csv,BATCHDIVIDE4,-1,random_exponential,-1,802,64.16443252904378,2238
essentials-Essentials.csv,BATCHBISECT,-1,linear,2,1023,51.94927195866604,2129
essentials-Essentials.csv,BATCHBISECT,-1,linear,3,975,54.203851573508686,2129
essentials-Essentials.csv,BATCHBISECT,-1,linear,4,933,56.17660873649601,2129
essentials-Essentials.csv,BATCHSTOP4,-1,linear,2,775,63.597933302019726,2129
essentials-Essentials.csv,BATCHSTOP4,-1,linear,3,762,64.20854861437294,2129
essentials-Essentials.csv,BATCHSTOP4,-1,linear,4,734,65.52372005636448,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,linear,2,1071,49.69469234382339,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,linear,3,1039,51.19774542038516,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,linear,4,1026,51.80836073273837,2129
essentials-Essentials.csv,BATCHBISECT,-1,exponential,2,969,54.48567402536402,2129
essentials-Essentials.csv,BATCHBISECT,-1,exponential,3,974,54.250821982151244,2129
essentials-Essentials.csv,BATCHSTOP4,-1,exponential,2,752,64.6782527007985,2129
essentials-Essentials.csv,BATCHSTOP4,-1,exponential,3,763,64.1615782057304,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,exponential,2,1062,50.11742602160639,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,exponential,3,855,59.840300610615316,2129
essentials-Essentials.csv,BATCHBISECT,-1,stagger,2,879,58.71301080319399,2129
essentials-Essentials.csv,BATCHBISECT,-1,stagger,3,890,58.19633630812588,2129
essentials-Essentials.csv,BATCHSTOP4,-1,stagger,2,738,65.33583842179428,2129
essentials-Essentials.csv,BATCHSTOP4,-1,stagger,3,751,64.72522310944106,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,stagger,2,1054,50.49318929074683,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,stagger,3,1041,51.103804603100045,2129
essentials-Essentials.csv,BATCHBISECT,-1,random_linear,-1,966,54.62658525129169,2129
essentials-Essentials.csv,BATCHSTOP4,-1,random_linear,-1,750,64.77219351808361,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,random_linear,-1,1068,49.83560356975106,2129
essentials-Essentials.csv,BATCHBISECT,-1,random_exponential,-1,944,55.6599342414279,2129
essentials-Essentials.csv,BATCHSTOP4,-1,random_exponential,-1,763,64.1615782057304,2129
essentials-Essentials.csv,BATCHDIVIDE4,-1,random_exponential,-1,911,57.20995772663222,2129
mybatis-mybatis-3.csv,BATCHBISECT,-1,linear,2,726,69.27634363097758,2363
mybatis-mybatis-3.csv,BATCHBISECT,-1,linear,3,707,70.08040626322472,2363
mybatis-mybatis-3.csv,BATCHBISECT,-1,linear,4,707,70.08040626322472,2363
mybatis-mybatis-3.csv,BATCHSTOP4,-1,linear,2,563,76.17435463393991,2363
mybatis-mybatis-3.csv,BATCHSTOP4,-1,linear,3,587,75.15869657215404,2363
mybatis-mybatis-3.csv,BATCHSTOP4,-1,linear,4,584,75.28565382987728,2363
mybatis-mybatis-3.csv,BATCHDIVIDE4,-1,linear,2,887,62.46297079983072,2363
