project,algorithm,ci_skip,batch_size,duration,builds_saved,median_delay,testall_size
apache-jackrabbit-oak.csv,BATCHBISECT,0,-1,14974746.0,7.370780590717296,-1,7584
JabRef-jabref.csv,BATCHBISECT,0,-1,297208.0,56.84835779175401,-1,2862
linkedin-gobblin.csv,BATCHBISECT,0,-1,14793501.0,13.262370540851553,-1,3476
graylog2-server.csv,BATCHBISECT,0,-1,230124.0,58.90736342042755,-1,2105
sakaiproject-sakai.csv,BATCHBISECT,0,-1,886356.0,53.56860679483803,-1,3797
deeplearning4j-deeplearning4j.csv,BATCHBISECT,0,-1,2786630.0,0.38043478260869623,-1,1840
checkstyle-checkstyle.csv,BATCHBISECT,0,-1,47523433.0,77.31211090430654,-1,46743
jOOQ-jOOQ.csv,BATCHBISECT,0,-1,354832.0,43.81338742393509,-1,3451
apache-nifi.csv,BATCHBISECT,0,-1,1167728.0,19.74822974036192,-1,1271
SpongePowered-SpongeForge.csv,BATCHSTOP4,0,-1,427814.0,46.98372167251835,-1,3133
DSpace-DSpace.csv,BATCHSTOP4,0,-1,174824.0,64.40355329949239,-1,1576
essentials-Essentials.csv,BATCHSTOP4,0,-1,52976.0,-3.370786516853941,-1,89
xetorthio-jedis.csv,BATCHSTOP4,0,-1,122364.0,54.2713567839196,-1,1592
samtools-htsjdk.csv,BATCHSTOP4,0,-1,129092.0,67.87595084844938,-1,1709
caelum-vraptor4.csv,BATCHSTOP4,0,-1,35805.0,47.61904761904761,-1,1428
cloudfoundry-uaa.csv,BATCHSTOP4,0,-1,271326.0,68.88111888111888,-1,286
keycloak-keycloak.csv,BATCHSTOP4,0,-1,1255680.0,52.86021505376344,-1,2325
open-keychain-open-keychain.csv,BATCHSTOP4,0,-1,615296.0,37.01626472237801,-1,1783
ratpack-ratpack.csv,BATCHSTOP4,0,-1,329724.0,11.034115138592748,-1,1876
apache-tajo.csv,BATCHSTOP4,0,-1,1095768.0,32.71173271173271,-1,1287
Graylog2-graylog2-server.csv,BATCHSTOP4,0,-1,348810.0,66.20164870006342,-1,3154
typetools-checker-framework.csv,BATCHSTOP4,0,-1,15030492.0,39.645746774546254,-1,4573
dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,525189.0,68.36633663366337,-1,2020
ngageoint-geowave.csv,BATCHSTOP4,0,-1,10063521.0,56.850715746421265,-1,2934
FasterXML-jackson-databind.csv,BATCHSTOP4,0,-1,243451.0,43.81972333779562,-1,2241
okhttp.csv,BATCHSTOP4,0,-1,885465.0,14.061683220073185,-1,1913
sparklemotion-nokogiri.csv,BATCHSTOP4,0,-1,2964736.0,48.601338596190146,-1,5827
gradle.csv,BATCHSTOP4,0,-1,879504.0,49.693251533742334,-1,3586
CloudSlang-cloud-slang.csv,BATCHSTOP4,0,-1,718061.0,46.56523743660673,-1,2169
floragunncom-search-guard.csv,BATCHSTOP4,0,-1,1978100.0,66.0460021905805,-1,3652
apache-sling.csv,BATCHSTOP4,0,-1,87514713.0,0.6645215444879726,-1,14296
cloudify.csv,BATCHSTOP4,0,-1,2181294.0,39.801479174776176,-1,5138
mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,490781.0,70.94374709437471,-1,2151
apache-pdfbox.csv,BATCHSTOP4,0,-1,4533760.0,15.676457498887409,-1,8988
structr-structr.csv,BATCHSTOP4,0,-1,11336.0,20.780254777070063,-1,2512
orbeon-orbeon-forms.csv,BATCHSTOP4,0,-1,2996912.0,19.027882441597587,-1,2654
puniverse-quasar.csv,BATCHSTOP4,0,-1,377178.0,50.67087608524072,-1,1267
p6spy-p6spy.csv,BATCHSTOP4,0,-1,1350050.0,24.689440993788825,-1,1288
grails-grails-core.csv,BATCHSTOP4,0,-1,1168850.0,14.312617702448216,-1,1062
SpongePowered-SpongeCommon.csv,BATCHSTOP4,0,-1,358182.0,49.93270524899059,-1,3715
killbill-killbill.csv,BATCHSTOP4,0,-1,138389656.0,32.80200031254884,-1,6399
junit-team-junit5.csv,BATCHSTOP4,0,-1,98175.0,66.15566037735849,-1,1696
square-wire.csv,BATCHSTOP4,0,-1,45425.0,68.53832442067736,-1,1122
nutzam-nutz.csv,BATCHSTOP4,0,-1,3274228.0,25.476869107651833,-1,4561
rackerlabs-blueflood.csv,BATCHSTOP4,0,-1,3325757.0,44.38405797101449,-1,2208
yegor256-takes.csv,BATCHSTOP4,0,-1,1060014.0,44.2517904259329,-1,2653
geotools-geotools.csv,BATCHSTOP4,0,-1,8588124.0,30.699300699300704,-1,4290
CloudifySource-cloudify.csv,BATCHSTOP4,0,-1,2184002.0,39.879564879564875,-1,5148
android.csv,BATCHSTOP4,0,-1,377728.0,64.96598639455782,-1,882
dreamhead-moco.csv,BATCHSTOP4,0,-1,4753168.0,40.70215175537939,-1,4415
osmdroid-osmdroid.csv,BATCHSTOP4,0,-1,10040550.0,18.1390977443609,-1,1064
naver-pinpoint.csv,BATCHSTOP4,0,-1,233752.0,62.23155929038282,-1,2142
SonarSource-sonar-java.csv,BATCHSTOP4,0,-1,3538584.0,52.01372436892411,-1,12241
apache-zeppelin.csv,BATCHSTOP4,0,-1,48164168.0,17.90591805766313,-1,4613
geoserver-geoserver.csv,BATCHSTOP4,0,-1,10428410.0,18.562651275367713,-1,5371
apache-jackrabbit-oak.csv,BATCHSTOP4,0,-1,14974746.0,14.029535864978904,-1,7584
JabRef-jabref.csv,BATCHSTOP4,0,-1,297208.0,60.866526904262756,-1,2862
linkedin-gobblin.csv,BATCHSTOP4,0,-1,14793501.0,20.281933256616803,-1,3476
graylog2-server.csv,BATCHSTOP4,0,-1,230124.0,61.99524940617578,-1,2105
sakaiproject-sakai.csv,BATCHSTOP4,0,-1,886356.0,57.57176718461944,-1,3797
deeplearning4j-deeplearning4j.csv,BATCHSTOP4,0,-1,2786630.0,1.9021739130434812,-1,1840
checkstyle-checkstyle.csv,BATCHSTOP4,0,-1,47523433.0,78.49089703271078,-1,46743
jOOQ-jOOQ.csv,BATCHSTOP4,0,-1,354832.0,48.97131266299623,-1,3451
apache-nifi.csv,BATCHSTOP4,0,-1,1167728.0,27.616050354051925,-1,1271
