project,ci_skip,batch_size,builds_saved,method
FasterXML-jackson-databind.csv,0,4,25.25658188,baseline_static
FasterXML-jackson-databind.csv,0,8,26.14904061,baseline_static
FasterXML-jackson-databind.csv,0,16,25.16733601,baseline_static
samtools-htsjdk.csv,0,2,37.56582797,baseline_static
samtools-htsjdk.csv,0,4,54.35927443,baseline_static
samtools-htsjdk.csv,0,8,60.56173201,baseline_static
samtools-htsjdk.csv,0,16,62.02457578,baseline_static
deeplearning4j-deeplearning4j.csv,0,2,-41.19565217,baseline_static
deeplearning4j-deeplearning4j.csv,0,4,-63.26086957,baseline_static
deeplearning4j-deeplearning4j.csv,0,8,-74.89130435,baseline_static
deeplearning4j-deeplearning4j.csv,0,16,-80.92391304,baseline_static
open-keychain-open-keychain.csv,0,2,21.03196859,baseline_static
open-keychain-open-keychain.csv,0,4,26.41615255,baseline_static
open-keychain-open-keychain.csv,0,8,25.01402131,baseline_static
open-keychain-open-keychain.csv,0,16,21.92933259,baseline_static
yegor256-takes.csv,0,2,18.46965699,baseline_static
yegor256-takes.csv,0,4,24.53825858,baseline_static
yegor256-takes.csv,0,8,24.839804,baseline_static
yegor256-takes.csv,0,16,23.40746325,baseline_static
keycloak-keycloak.csv,0,2,34.83870968,baseline_static
keycloak-keycloak.csv,0,4,46.83870968,baseline_static
keycloak-keycloak.csv,0,8,49.03225806,baseline_static
keycloak-keycloak.csv,0,16,47.87096774,baseline_static
rackerlabs-blueflood.csv,0,2,25.45289855,baseline_static
rackerlabs-blueflood.csv,0,4,33.42391304,baseline_static
rackerlabs-blueflood.csv,0,8,33.69565217,baseline_static
rackerlabs-blueflood.csv,0,16,31.88405797,baseline_static
xetorthio-jedis.csv,0,2,31.53266332,baseline_static
xetorthio-jedis.csv,0,4,44.34673367,baseline_static
xetorthio-jedis.csv,0,8,48.3040201,baseline_static
xetorthio-jedis.csv,0,16,47.86432161,baseline_static
orbeon-orbeon-forms.csv,0,2,-4.709871891,baseline_static
orbeon-orbeon-forms.csv,0,4,-11.37905049,baseline_static
orbeon-orbeon-forms.csv,0,8,-17.40768651,baseline_static
orbeon-orbeon-forms.csv,0,16,-21.70308968,baseline_static
linkedin-gobblin.csv,0,2,-5.638665132,baseline_static
linkedin-gobblin.csv,0,4,-12.97468354,baseline_static
linkedin-gobblin.csv,0,8,-19.53394707,baseline_static
linkedin-gobblin.csv,0,16,-24.16570771,baseline_static
JabRef-jabref.csv,0,2,37.42138365,baseline_static
JabRef-jabref.csv,0,4,52.69042628,baseline_static
JabRef-jabref.csv,0,8,57.44234801,baseline_static
JabRef-jabref.csv,0,16,57.96645702,baseline_static
jOOQ-jOOQ.csv,0,2,23.79020574,baseline_static
jOOQ-jOOQ.csv,0,4,33.72935381,baseline_static
jOOQ-jOOQ.csv,0,8,36.65604173,baseline_static
jOOQ-jOOQ.csv,0,16,36.07649957,baseline_static
structr-structr.csv,0,2,-1.035031847,baseline_static
structr-structr.csv,0,4,-6.289808917,baseline_static
structr-structr.csv,0,8,-12.34076433,baseline_static
structr-structr.csv,0,16,-17.23726115,baseline_static
floragunncom-search-guard.csv,0,2,40.47097481,baseline_static
floragunncom-search-guard.csv,0,4,60.70646221,baseline_static
floragunncom-search-guard.csv,0,8,68.70208105,baseline_static
floragunncom-search-guard.csv,0,16,71.00219058,baseline_static
SpongePowered-SpongeForge.csv,0,2,24.00255346,baseline_static
SpongePowered-SpongeForge.csv,0,4,32.52473667,baseline_static
SpongePowered-SpongeForge.csv,0,8,34.24832429,baseline_static
SpongePowered-SpongeForge.csv,0,16,33.0354293,baseline_static
sakaiproject-sakai.csv,0,2,36.23913616,baseline_static
sakaiproject-sakai.csv,0,4,49.74980248,baseline_static
sakaiproject-sakai.csv,0,8,53.30524098,baseline_static
sakaiproject-sakai.csv,0,16,52.96286542,baseline_static
dreamhead-moco.csv,0,2,12.75198188,baseline_static
dreamhead-moco.csv,0,4,16.37599094,baseline_static
dreamhead-moco.csv,0,8,16.10419026,baseline_static
dreamhead-moco.csv,0,16,14.65458664,baseline_static
nutzam-nutz.csv,0,2,-0.394650296,baseline_static
nutzam-nutz.csv,0,4,-3.420302565,baseline_static
nutzam-nutz.csv,0,8,-7.673755755,baseline_static
nutzam-nutz.csv,0,16,-11.42293357,baseline_static
CloudSlang-cloud-slang.csv,0,2,22.59105579,baseline_static
CloudSlang-cloud-slang.csv,0,4,30.05993545,baseline_static
CloudSlang-cloud-slang.csv,0,8,30.38266482,baseline_static
CloudSlang-cloud-slang.csv,0,16,28.44628861,baseline_static
geotools-geotools.csv,0,2,-0.116550117,baseline_static
geotools-geotools.csv,0,4,-1.841491841,baseline_static
geotools-geotools.csv,0,8,-4.312354312,baseline_static
geotools-geotools.csv,0,16,-6.596736597,baseline_static
CloudifySource-cloudify.csv,0,2,20.43512044,baseline_static
CloudifySource-cloudify.csv,0,4,25.89355089,baseline_static
CloudifySource-cloudify.csv,0,8,25.13597514,baseline_static
CloudifySource-cloudify.csv,0,16,22.45532246,baseline_static
SpongePowered-SpongeCommon.csv,0,2,27.86002692,baseline_static
SpongePowered-SpongeCommon.csv,0,4,39.62314939,baseline_static
SpongePowered-SpongeCommon.csv,0,8,42.58411844,baseline_static
SpongePowered-SpongeCommon.csv,0,16,41.83041723,baseline_static
apache-zeppelin.csv,0,2,-9.061348363,baseline_static
apache-zeppelin.csv,0,4,-16.88705831,baseline_static
apache-zeppelin.csv,0,8,-23.15196185,baseline_static
apache-zeppelin.csv,0,16,-27.61760243,baseline_static
typetools-checker-framework.csv,0,2,11.23988629,baseline_static
typetools-checker-framework.csv,0,4,13.9295867,baseline_static
typetools-checker-framework.csv,0,8,13.44850208,baseline_static
typetools-checker-framework.csv,0,16,11.69910343,baseline_static
geoserver-geoserver.csv,0,2,-6.870229008,baseline_static
geoserver-geoserver.csv,0,4,-15.30441259,baseline_static
geoserver-geoserver.csv,0,8,-21.9139825,baseline_static
geoserver-geoserver.csv,0,16,-26.45689816,baseline_static
ngageoint-geowave.csv,0,2,31.5269257,baseline_static
ngageoint-geowave.csv,0,4,43.69461486,baseline_static
ngageoint-geowave.csv,0,8,47.6141786,baseline_static
ngageoint-geowave.csv,0,16,48.19359237,baseline_static
sparklemotion-nokogiri.csv,0,2,13.16286254,baseline_static
sparklemotion-nokogiri.csv,0,4,18.74034666,baseline_static
sparklemotion-nokogiri.csv,0,8,20.73107946,baseline_static
sparklemotion-nokogiri.csv,0,16,21.28024713,baseline_static
Graylog2-graylog2-server.csv,0,2,41.94673431,baseline_static
Graylog2-graylog2-server.csv,0,4,59.89220038,baseline_static
Graylog2-graylog2-server.csv,0,8,66.36017755,baseline_static
Graylog2-graylog2-server.csv,0,16,67.53329106,baseline_static
cloudfoundry-uaa.csv,0,2,40.90909091,baseline_static
cloudfoundry-uaa.csv,0,4,58.04195804,baseline_static
cloudfoundry-uaa.csv,0,8,65.73426573,baseline_static
cloudfoundry-uaa.csv,0,16,68.53146853,baseline_static
apache-jackrabbit-oak.csv,0,2,-7.225738397,baseline_static
apache-jackrabbit-oak.csv,0,4,-16.90400844,baseline_static
apache-jackrabbit-oak.csv,0,8,-24.84177215,baseline_static
apache-jackrabbit-oak.csv,0,16,-30.14240506,baseline_static
apache-pdfbox.csv,0,2,-10.28037383,baseline_static
apache-pdfbox.csv,0,4,-20.68313307,baseline_static
apache-pdfbox.csv,0,8,-28.2376502,baseline_static
apache-pdfbox.csv,0,16,-32.86604361,baseline_static
apache-sling.csv,0,2,-48.43312815,baseline_static
apache-sling.csv,0,4,-72.81757135,baseline_static
apache-sling.csv,0,8,-85.10772244,baseline_static
apache-sling.csv,0,16,-91.28427532,baseline_static
SonarSource-sonar-java.csv,0,2,25.96193121,baseline_static
SonarSource-sonar-java.csv,0,4,36.97410342,baseline_static
SonarSource-sonar-java.csv,0,8,40.0457479,baseline_static
SonarSource-sonar-java.csv,0,16,40.31533371,baseline_static
killbill-killbill.csv,0,2,-0.421940928,baseline_static
killbill-killbill.csv,0,4,-2.140959525,baseline_static
killbill-killbill.csv,0,8,-4.016252539,baseline_static
killbill-killbill.csv,0,16,-6.141584623,baseline_static
checkstyle-checkstyle.csv,0,2,39.32781379,baseline_static
checkstyle-checkstyle.csv,0,4,58.70183771,baseline_static
checkstyle-checkstyle.csv,0,8,68.09575765,baseline_static
checkstyle-checkstyle.csv,0,16,72.48785914,baseline_static
apache-tajo.csv,1,2,17.7672956,baseline_static
apache-tajo.csv,1,4,21.69811321,baseline_static
apache-tajo.csv,1,8,19.88993711,baseline_static
apache-tajo.csv,1,16,17.7672956,baseline_static
osmdroid-osmdroid.csv,1,2,-9.949622166,baseline_static
osmdroid-osmdroid.csv,1,4,-17.50629723,baseline_static
osmdroid-osmdroid.csv,1,8,-23.92947103,baseline_static
osmdroid-osmdroid.csv,1,16,-28.71536524,baseline_static
DSpace-DSpace.csv,1,2,40.15696534,baseline_static
DSpace-DSpace.csv,1,4,56.24591236,baseline_static
DSpace-DSpace.csv,1,8,61.41268803,baseline_static
DSpace-DSpace.csv,1,16,62.45912361,baseline_static
apache-nifi.csv,1,2,12.73187184,baseline_static
apache-nifi.csv,1,4,13.40640809,baseline_static
apache-nifi.csv,1,8,10.03372681,baseline_static
apache-nifi.csv,1,16,5.986509275,baseline_static
caelum-vraptor4.csv,1,2,31.18393235,baseline_static
caelum-vraptor4.csv,1,4,41.1205074,baseline_static
caelum-vraptor4.csv,1,8,42.81183932,baseline_static
caelum-vraptor4.csv,1,16,40.80338266,baseline_static
grails-grails-core.csv,1,2,4.671968191,baseline_static
grails-grails-core.csv,1,4,-1.391650099,baseline_static
grails-grails-core.csv,1,8,-8.349900596,baseline_static
grails-grails-core.csv,1,16,-13.4194831,baseline_static
square-wire.csv,1,2,39.72093023,baseline_static
square-wire.csv,1,4,57.30232558,baseline_static
square-wire.csv,1,8,64,baseline_static
square-wire.csv,1,16,65.58139535,baseline_static
puniverse-quasar.csv,1,2,35.17241379,baseline_static
puniverse-quasar.csv,1,4,47.93103448,baseline_static
puniverse-quasar.csv,1,8,49.74137931,baseline_static
puniverse-quasar.csv,1,16,48.36206897,baseline_static
dropwizard-dropwizard.csv,1,2,38.25331971,baseline_static
dropwizard-dropwizard.csv,1,4,54.85188968,baseline_static
dropwizard-dropwizard.csv,1,8,61.13381001,baseline_static
dropwizard-dropwizard.csv,1,16,62.87027579,baseline_static
essentials-Essentials.csv,1,2,-21.91780822,baseline_static
essentials-Essentials.csv,1,4,-41.09589041,baseline_static
essentials-Essentials.csv,1,8,-53.42465753,baseline_static
essentials-Essentials.csv,1,16,-57.53424658,baseline_static
mybatis-mybatis-3.csv,1,2,41.68260038,baseline_static
mybatis-mybatis-3.csv,1,4,61.61567878,baseline_static
mybatis-mybatis-3.csv,1,8,70.07648184,baseline_static
mybatis-mybatis-3.csv,1,16,73.08795411,baseline_static
naver-pinpoint.csv,1,2,34.01955739,baseline_static
naver-pinpoint.csv,1,4,48.43026248,baseline_static
naver-pinpoint.csv,1,8,53.42254246,baseline_static
naver-pinpoint.csv,1,16,54.60627895,baseline_static
FasterXML-jackson-databind.csv,1,2,19.52117864,baseline_static
FasterXML-jackson-databind.csv,1,4,26.74953959,baseline_static
FasterXML-jackson-databind.csv,1,8,28.17679558,baseline_static
FasterXML-jackson-databind.csv,1,16,26.88766114,baseline_static
samtools-htsjdk.csv,1,2,40.08647313,baseline_static
samtools-htsjdk.csv,1,4,56.94873379,baseline_static
samtools-htsjdk.csv,1,8,63.49598518,baseline_static
samtools-htsjdk.csv,1,16,65.04014824,baseline_static
deeplearning4j-deeplearning4j.csv,1,2,-41.19565217,baseline_static
deeplearning4j-deeplearning4j.csv,1,4,-63.26086957,baseline_static
deeplearning4j-deeplearning4j.csv,1,8,-74.89130435,baseline_static
deeplearning4j-deeplearning4j.csv,1,16,-80.92391304,baseline_static
open-keychain-open-keychain.csv,1,2,20.24793388,baseline_static
