project,method,algorithm,batch_size,builds_saved,testall_size,confidence
square-wire.csv,ssr,BATCHDIVIDE4,-1,85.83450222015381,713,14
square-wire.csv,ssr,BATCHBISECT,-1,86.91983127593994,237,18
floragunncom-search-guard.csv,ssr,BATCHSTOP4,-1,88.07740306854248,1602,19
floragunncom-search-guard.csv,ssr,BATCHDIVIDE4,-1,87.07865142822266,1602,19
floragunncom-search-guard.csv,ssr,BATCHBISECT,-1,88.10316181182861,3606,18
grails-grails-core.csv,ssr,BATCHSTOP4,-1,42.735042572021484,234,17
grails-grails-core.csv,ssr,BATCHDIVIDE4,-1,42.735042572021484,234,17
grails-grails-core.csv,ssr,BATCHBISECT,-1,47.86324691772461,702,19
jOOQ-jOOQ.csv,ssr,BATCHSTOP4,-1,77.64192199707031,1145,16
jOOQ-jOOQ.csv,ssr,BATCHDIVIDE4,-1,75.63318824768066,1145,16
jOOQ-jOOQ.csv,ssr,BATCHBISECT,-1,72.76289939880371,3062,20
open-keychain-open-keychain.csv,ssr,BATCHSTOP4,-1,60.387325286865234,568,15
open-keychain-open-keychain.csv,ssr,BATCHDIVIDE4,-1,60.387325286865234,568,15
open-keychain-open-keychain.csv,ssr,BATCHBISECT,-1,67.15686416625977,1428,20
osmdroid-osmdroid.csv,ssr,BATCHSTOP4,-1,-12.5858154296875,437,16
osmdroid-osmdroid.csv,ssr,BATCHDIVIDE4,-1,-12.814643859863281,437,16
osmdroid-osmdroid.csv,ssr,BATCHBISECT,-1,4.931190490722656,872,15
essentials-Essentials.csv,ssr,BATCHSTOP4,-1,81.95121955871582,1230,20
essentials-Essentials.csv,ssr,BATCHDIVIDE4,-1,81.13821220397949,1230,20
essentials-Essentials.csv,ssr,BATCHBISECT,-1,83.79790878295898,1722,20
typetools-checker-framework.csv,ssr,BATCHSTOP4,-1,74.09162712097168,633,20
typetools-checker-framework.csv,ssr,BATCHDIVIDE4,-1,69.1943130493164,633,6
typetools-checker-framework.csv,ssr,BATCHBISECT,-1,45.20709991455078,2535,20
checkstyle-checkstyle.csv,ssr,BATCHSTOP4,-1,81.911376953125,32971,20
checkstyle-checkstyle.csv,ssr,BATCHDIVIDE4,-1,80.97418975830078,32971,20
checkstyle-checkstyle.csv,ssr,BATCHBISECT,-1,85.26894187927246,42407,19
apache-zeppelin.csv,ssr,BATCHSTOP4,-1,6.049049377441406,1835,6
apache-zeppelin.csv,ssr,BATCHDIVIDE4,-1,4.6321563720703125,1835,6
apache-zeppelin.csv,ssr,BATCHBISECT,-1,15.3133544921875,1835,9
