project,method,batch,reqd_builds,delay
apache-pdfbox.csv,sbs,32,97.65917602996255,1
apache-sling.csv,sbs,1,100.0,0
apache-sling.csv,sbs,2,100.0,0
apache-sling.csv,sbs,4,100.0,0
apache-sling.csv,sbs,8,100.0,0
apache-sling.csv,sbs,16,100.0,0
apache-sling.csv,sbs,32,100.0,0
SonarSource-sonar-java.csv,sbs,1,7.814407814407814,7455
SonarSource-sonar-java.csv,sbs,2,7.814407814407814,7455
SonarSource-sonar-java.csv,sbs,4,7.814407814407814,7455
SonarSource-sonar-java.csv,sbs,8,7.814407814407814,7455
SonarSource-sonar-java.csv,sbs,16,7.814407814407814,7455
SonarSource-sonar-java.csv,sbs,32,7.814407814407814,7455
killbill-killbill.csv,sbs,1,95.15151515151516,585
killbill-killbill.csv,sbs,2,95.15151515151516,585
killbill-killbill.csv,sbs,4,95.15151515151516,585
killbill-killbill.csv,sbs,8,95.15151515151516,585
killbill-killbill.csv,sbs,16,95.15151515151516,585
killbill-killbill.csv,sbs,32,95.15151515151516,585
checkstyle-checkstyle.csv,sbs,1,0.7398013105051786,2152431
checkstyle-checkstyle.csv,sbs,2,0.7398013105051786,2152431
checkstyle-checkstyle.csv,sbs,4,0.7398013105051786,2152431
checkstyle-checkstyle.csv,sbs,8,0.7398013105051786,2152431
checkstyle-checkstyle.csv,sbs,16,0.7398013105051786,2152431
checkstyle-checkstyle.csv,sbs,32,0.7398013105051786,2152431
